,reportdate,Protecting Office,Protecting Office Label,Acres
258,2025-06-01,Kenai-Kodiak Area,KKS,5.8
259,2025-06-01,Mat-Su Area,MSS,4.5
260,2025-06-01,Military Zone,MID,0.1
261,2025-06-01,Tanana Zone,TAD,0.0
262,2025-06-01,Tongass N.F.,TNF,0.7
263,2025-06-01,Upper Yukon Zone,UYD,1034.9
264,2025-06-02,Chugach N.F.,CGF,0.1
265,2025-06-02,Copper River Area,CRS,0.1
266,2025-06-02,Delta Area,DAS,0.1
267,2025-06-02,Fairbanks Area,FAS,2.0
268,2025-06-02,Galena Zone,GAD,34.6
269,2025-06-02,Kenai-Kodiak Area,KKS,5.8
270,2025-06-02,Mat-Su Area,MSS,4.5
271,2025-06-02,Military Zone,MID,0.1
272,2025-06-02,Tanana Zone,TAD,0.0
273,2025-06-02,Tongass N.F.,TNF,0.7
274,2025-06-02,Upper Yukon Zone,UYD,1034.9
275,2025-06-04,Chugach N.F.,CGF,0.1
276,2025-06-04,Copper River Area,CRS,0.2
277,2025-06-04,Delta Area,DAS,0.1
278,2025-06-04,Fairbanks Area,FAS,4.2
279,2025-06-04,Galena Zone,GAD,34.6
280,2025-06-04,Kenai-Kodiak Area,KKS,5.8
281,2025-06-04,Mat-Su Area,MSS,4.5
282,2025-06-04,Military Zone,MID,0.1
283,2025-06-04,Tanana Zone,TAD,0.0
284,2025-06-04,Tongass N.F.,TNF,0.7
285,2025-06-04,Upper Yukon Zone,UYD,1034.9
286,2025-06-05,Chugach N.F.,CGF,0.1
287,2025-06-05,Copper River Area,CRS,0.2
288,2025-06-05,Delta Area,DAS,0.1
289,2025-06-05,Fairbanks Area,FAS,4.2
290,2025-06-05,Galena Zone,GAD,34.6
291,2025-06-05,Kenai-Kodiak Area,KKS,5.8
292,2025-06-05,Mat-Su Area,MSS,4.9
293,2025-06-05,Military Zone,MID,0.1
294,2025-06-05,Tanana Zone,TAD,0.0
295,2025-06-05,Tongass N.F.,TNF,0.7
296,2025-06-05,Upper Yukon Zone,UYD,1034.9
297,2025-06-06,Chugach N.F.,CGF,0.1
298,2025-06-06,Copper River Area,CRS,0.2
299,2025-06-06,Delta Area,DAS,0.1
300,2025-06-06,Fairbanks Area,FAS,4.2
301,2025-06-06,Galena Zone,GAD,34.6
302,2025-06-06,Kenai-Kodiak Area,KKS,5.8
303,2025-06-06,Mat-Su Area,MSS,4.9
304,2025-06-06,Military Zone,MID,0.1
305,2025-06-06,Tanana Zone,TAD,0.0
306,2025-06-06,Tongass N.F.,TNF,0.7
307,2025-06-06,Upper Yukon Zone,UYD,1034.9
308,2025-06-07,Chugach N.F.,CGF,1.1
309,2025-06-07,Copper River Area,CRS,0.2
310,2025-06-07,Delta Area,DAS,0.1
311,2025-06-07,Fairbanks Area,FAS,12.2
312,2025-06-07,Galena Zone,GAD,34.7
313,2025-06-07,Kenai-Kodiak Area,KKS,5.9
314,2025-06-07,Mat-Su Area,MSS,4.9
315,2025-06-07,Military Zone,MID,0.1
316,2025-06-07,Tanana Zone,TAD,0.0
317,2025-06-07,Tok Area,TAS,0.1
318,2025-06-07,Tongass N.F.,TNF,0.7
319,2025-06-07,Upper Yukon Zone,UYD,1034.9
320,2025-06-08,Chugach N.F.,CGF,1.1
321,2025-06-08,Copper River Area,CRS,0.2
322,2025-06-08,Delta Area,DAS,0.1
323,2025-06-08,Fairbanks Area,FAS,12.2
324,2025-06-08,Galena Zone,GAD,34.7
325,2025-06-08,Kenai-Kodiak Area,KKS,5.9
326,2025-06-08,Mat-Su Area,MSS,4.9
327,2025-06-08,Military Zone,MID,0.1
328,2025-06-08,Tanana Zone,TAD,0.0
329,2025-06-08,Tok Area,TAS,0.1
330,2025-06-08,Tongass N.F.,TNF,0.7
331,2025-06-08,Upper Yukon Zone,UYD,1034.9
332,2025-06-09,Chugach N.F.,CGF,1.1
333,2025-06-09,Copper River Area,CRS,0.2
334,2025-06-09,Delta Area,DAS,0.1
335,2025-06-09,Fairbanks Area,FAS,12.2
336,2025-06-09,Galena Zone,GAD,34.6
337,2025-06-09,Kenai-Kodiak Area,KKS,5.8
338,2025-06-09,Mat-Su Area,MSS,4.9
339,2025-06-09,Military Zone,MID,0.1
340,2025-06-09,Tanana Zone,TAD,0.0
341,2025-06-09,Tok Area,TAS,0.1
342,2025-06-09,Tongass N.F.,TNF,0.7
343,2025-06-09,Upper Yukon Zone,UYD,1034.9
344,2025-06-10,Chugach N.F.,CGF,1.1
345,2025-06-10,Copper River Area,CRS,0.2
346,2025-06-10,Delta Area,DAS,0.1
347,2025-06-10,Fairbanks Area,FAS,12.2
348,2025-06-10,Galena Zone,GAD,34.6
349,2025-06-10,Kenai-Kodiak Area,KKS,5.8
350,2025-06-10,Mat-Su Area,MSS,5.0
351,2025-06-10,Military Zone,MID,0.1
352,2025-06-10,Tanana Zone,TAD,0.0
353,2025-06-10,Tok Area,TAS,0.1
354,2025-06-10,Tongass N.F.,TNF,0.7
355,2025-06-10,Upper Yukon Zone,UYD,1034.9
356,2025-06-11,Chugach N.F.,CGF,1.1
357,2025-06-11,Copper River Area,CRS,0.2
358,2025-06-11,Delta Area,DAS,0.1
359,2025-06-11,Fairbanks Area,FAS,12.2
360,2025-06-11,Galena Zone,GAD,34.6
361,2025-06-11,Kenai-Kodiak Area,KKS,5.8
362,2025-06-11,Mat-Su Area,MSS,5.1
363,2025-06-11,Military Zone,MID,0.2
364,2025-06-11,Tanana Zone,TAD,0.0
365,2025-06-11,Tok Area,TAS,0.1
366,2025-06-11,Tongass N.F.,TNF,0.7
367,2025-06-11,Upper Yukon Zone,UYD,1034.9
368,2025-06-12,Chugach N.F.,CGF,1.1
369,2025-06-12,Copper River Area,CRS,0.2
370,2025-06-12,Delta Area,DAS,0.6
371,2025-06-12,Fairbanks Area,FAS,12.3
372,2025-06-12,Galena Zone,GAD,34.7
373,2025-06-12,Kenai-Kodiak Area,KKS,5.9
374,2025-06-12,Mat-Su Area,MSS,5.1
375,2025-06-12,Military Zone,MID,1.1
376,2025-06-12,Tanana Zone,TAD,0.0
377,2025-06-12,Tok Area,TAS,0.1
378,2025-06-12,Tongass N.F.,TNF,0.7
379,2025-06-12,Upper Yukon Zone,UYD,1034.9
380,2025-06-13,Chugach N.F.,CGF,1.1
381,2025-06-13,Copper River Area,CRS,0.2
382,2025-06-13,Delta Area,DAS,0.6
383,2025-06-13,Fairbanks Area,FAS,12.3
384,2025-06-13,Galena Zone,GAD,34.7
385,2025-06-13,Kenai-Kodiak Area,KKS,6.0
386,2025-06-13,Mat-Su Area,MSS,5.1
387,2025-06-13,Military Zone,MID,1.1
388,2025-06-13,Tanana Zone,TAD,0.0
389,2025-06-13,Tok Area,TAS,0.1
390,2025-06-13,Tongass N.F.,TNF,0.7
391,2025-06-13,Upper Yukon Zone,UYD,1034.9
392,2025-06-14,Chugach N.F.,CGF,1.1
393,2025-06-14,Copper River Area,CRS,0.2
394,2025-06-14,Delta Area,DAS,0.6
395,2025-06-14,Fairbanks Area,FAS,17.3
396,2025-06-14,Galena Zone,GAD,34.7
397,2025-06-14,Kenai-Kodiak Area,KKS,6.0
398,2025-06-14,Mat-Su Area,MSS,5.1
399,2025-06-14,Military Zone,MID,11.2
400,2025-06-14,Southwest Area,SWS,20.0
401,2025-06-14,Tanana Zone,TAD,0.0
402,2025-06-14,Tok Area,TAS,0.1
403,2025-06-14,Tongass N.F.,TNF,0.7
404,2025-06-14,Upper Yukon Zone,UYD,1034.9
405,2025-06-15,Chugach N.F.,CGF,1.1
406,2025-06-15,Copper River Area,CRS,0.2
407,2025-06-15,Delta Area,DAS,0.6
408,2025-06-15,Fairbanks Area,FAS,17.4
409,2025-06-15,Galena Zone,GAD,54.7
410,2025-06-15,Kenai-Kodiak Area,KKS,6.2
411,2025-06-15,Mat-Su Area,MSS,5.1
412,2025-06-15,Military Zone,MID,11.2
413,2025-06-15,Southwest Area,SWS,99.5
414,2025-06-15,Tanana Zone,TAD,0.0
415,2025-06-15,Tok Area,TAS,0.1
416,2025-06-15,Tongass N.F.,TNF,0.7
417,2025-06-15,Upper Yukon Zone,UYD,1034.9
418,2025-06-17,Chugach N.F.,CGF,1.1
419,2025-06-17,Copper River Area,CRS,0.2
420,2025-06-17,Delta Area,DAS,0.6
421,2025-06-17,Fairbanks Area,FAS,207.5
422,2025-06-17,Galena Zone,GAD,452.1
423,2025-06-17,Kenai-Kodiak Area,KKS,6.7
424,2025-06-17,Mat-Su Area,MSS,5.1
425,2025-06-17,Military Zone,MID,11.3
426,2025-06-17,Southwest Area,SWS,1654.0
427,2025-06-17,Tanana Zone,TAD,1.6
428,2025-06-17,Tok Area,TAS,0.1
429,2025-06-17,Tongass N.F.,TNF,0.7
430,2025-06-17,Upper Yukon Zone,UYD,1092.8
431,2025-06-18,Chugach N.F.,CGF,1.1
432,2025-06-18,Copper River Area,CRS,0.2
433,2025-06-18,Delta Area,DAS,0.6
434,2025-06-18,Fairbanks Area,FAS,452.6
435,2025-06-18,Galena Zone,GAD,4338.8
436,2025-06-18,Kenai-Kodiak Area,KKS,6.7
437,2025-06-18,Mat-Su Area,MSS,5.2
438,2025-06-18,Military Zone,MID,77.7
439,2025-06-18,Southwest Area,SWS,2920.9
440,2025-06-18,Tanana Zone,TAD,6060.8
441,2025-06-18,Tok Area,TAS,415.1
442,2025-06-18,Tongass N.F.,TNF,0.7
443,2025-06-18,Upper Yukon Zone,UYD,1197.9
444,2025-06-19,Chugach N.F.,CGF,1.2
445,2025-06-19,Copper River Area,CRS,70.2
446,2025-06-19,Delta Area,DAS,478.6
447,2025-06-19,Fairbanks Area,FAS,1105.8
448,2025-06-19,Galena Zone,GAD,6961.1
449,2025-06-19,Kenai-Kodiak Area,KKS,6.7
450,2025-06-19,Mat-Su Area,MSS,5.2
451,2025-06-19,Military Zone,MID,377.7
452,2025-06-19,Southwest Area,SWS,2947.2
453,2025-06-19,Tanana Zone,TAD,6258.1
454,2025-06-19,Tok Area,TAS,413.9
455,2025-06-19,Tongass N.F.,TNF,0.7
456,2025-06-19,Upper Yukon Zone,UYD,2280.5
457,2025-06-20,Chugach N.F.,CGF,1.2
458,2025-06-20,Copper River Area,CRS,775.2
459,2025-06-20,Delta Area,DAS,2159.6
460,2025-06-20,Fairbanks Area,FAS,8180.2
461,2025-06-20,Galena Zone,GAD,10310.0
462,2025-06-20,Kenai-Kodiak Area,KKS,6.7
463,2025-06-20,Mat-Su Area,MSS,5.4
464,2025-06-20,Military Zone,MID,1084.3
465,2025-06-20,Southwest Area,SWS,3185.1
466,2025-06-20,Tanana Zone,TAD,19096.6
467,2025-06-20,Tok Area,TAS,6636.8
468,2025-06-20,Tongass N.F.,TNF,0.7
469,2025-06-20,Upper Yukon Zone,UYD,7397.1
470,2025-06-21,Chugach N.F.,CGF,1.2
471,2025-06-21,Copper River Area,CRS,1157.3
472,2025-06-21,Delta Area,DAS,6725.4
473,2025-06-21,Fairbanks Area,FAS,30873.3
474,2025-06-21,Galena Zone,GAD,19260.5
475,2025-06-21,Kenai-Kodiak Area,KKS,6.7
476,2025-06-21,Mat-Su Area,MSS,5.6
477,2025-06-21,Military Zone,MID,1652.6
478,2025-06-21,Southwest Area,SWS,3814.1
479,2025-06-21,Tanana Zone,TAD,20846.7
480,2025-06-21,Tok Area,TAS,6768.1
481,2025-06-21,Tongass N.F.,TNF,0.7
482,2025-06-21,Upper Yukon Zone,UYD,7995.6
483,2025-06-22,Chugach N.F.,CGF,1.2
484,2025-06-22,Copper River Area,CRS,3179.2
485,2025-06-22,Delta Area,DAS,16963.4
486,2025-06-22,Fairbanks Area,FAS,45985.2
487,2025-06-22,Galena Zone,GAD,25713.5
488,2025-06-22,Kenai-Kodiak Area,KKS,6.7
489,2025-06-22,Mat-Su Area,MSS,5.6
490,2025-06-22,Military Zone,MID,3810.4
491,2025-06-22,Southwest Area,SWS,3694.6
492,2025-06-22,Tanana Zone,TAD,36204.8
493,2025-06-22,Tok Area,TAS,26434.4
494,2025-06-22,Tongass N.F.,TNF,0.7
495,2025-06-22,Upper Yukon Zone,UYD,22522.8
496,2025-06-23,Chugach N.F.,CGF,1.2
497,2025-06-23,Copper River Area,CRS,4198.9
498,2025-06-23,Delta Area,DAS,17058.7
499,2025-06-23,Fairbanks Area,FAS,44848.0
500,2025-06-23,Galena Zone,GAD,26056.3
501,2025-06-23,Kenai-Kodiak Area,KKS,6.7
502,2025-06-23,Mat-Su Area,MSS,5.6
503,2025-06-23,Military Zone,MID,3825.2
504,2025-06-23,Southwest Area,SWS,33458.2
505,2025-06-23,Tanana Zone,TAD,37263.0
506,2025-06-23,Tok Area,TAS,43447.3
507,2025-06-23,Tongass N.F.,TNF,0.7
508,2025-06-23,Upper Yukon Zone,UYD,22622.5
509,2025-06-24,Chugach N.F.,CGF,1.2
510,2025-06-24,Copper River Area,CRS,4672.2
511,2025-06-24,Delta Area,DAS,17572.0
512,2025-06-24,Fairbanks Area,FAS,49477.6
513,2025-06-24,Galena Zone,GAD,28018.9
514,2025-06-24,Kenai-Kodiak Area,KKS,6.7
515,2025-06-24,Mat-Su Area,MSS,5.7
516,2025-06-24,Military Zone,MID,3825.2
517,2025-06-24,Southwest Area,SWS,33458.2
518,2025-06-24,Tanana Zone,TAD,43308.5
519,2025-06-24,Tok Area,TAS,44859.8
520,2025-06-24,Tongass N.F.,TNF,0.7
521,2025-06-24,Upper Yukon Zone,UYD,22474.7
522,2025-06-25,Chugach N.F.,CGF,1.2
523,2025-06-25,Copper River Area,CRS,4961.0
524,2025-06-25,Delta Area,DAS,17572.0
525,2025-06-25,Fairbanks Area,FAS,58154.6
526,2025-06-25,Galena Zone,GAD,29481.4
527,2025-06-25,Kenai-Kodiak Area,KKS,6.7
528,2025-06-25,Mat-Su Area,MSS,5.9
529,2025-06-25,Military Zone,MID,3825.2
530,2025-06-25,Southwest Area,SWS,33458.2
531,2025-06-25,Tanana Zone,TAD,49053.2
532,2025-06-25,Tok Area,TAS,45007.1
533,2025-06-25,Tongass N.F.,TNF,0.7
534,2025-06-25,Upper Yukon Zone,UYD,25303.2
535,2025-06-26,Chugach N.F.,CGF,1.2
536,2025-06-26,Copper River Area,CRS,4961.0
537,2025-06-26,Delta Area,DAS,17501.6
538,2025-06-26,Fairbanks Area,FAS,55530.2
539,2025-06-26,Galena Zone,GAD,37032.1
540,2025-06-26,Kenai-Kodiak Area,KKS,6.7
541,2025-06-26,Mat-Su Area,MSS,5.9
542,2025-06-26,Military Zone,MID,3825.2
543,2025-06-26,Southwest Area,SWS,34899.6
544,2025-06-26,Tanana Zone,TAD,50423.1
545,2025-06-26,Tok Area,TAS,46352.5
