Year,Month,Day,ProtectionUnit,TotalFires,Acres,reportdate
2004,5,26,CGF,1.0,0.1,2004-05-26
2004,5,26,SWS,2.0,70.0,2004-05-26
2004,5,27,GAD,1.0,1.0,2004-05-27
2004,5,27,MID,2.0,1.1,2004-05-27
2004,5,27,UYD,1.0,0.1,2004-05-27
2004,5,27,CRS,3.0,70.2,2004-05-27
2004,5,27,DAS,6.0,18.6,2004-05-27
2004,5,27,FAS,23.0,5.5,2004-05-27
2004,5,27,HNS,1.0,0.1,2004-05-27
2004,5,27,KKS,16.0,9.5,2004-05-27
2004,5,27,MSS,31.0,46.6,2004-05-27
2004,5,27,TAS,2.0,0.2,2004-05-27
2004,5,27,CGF,1.0,0.1,2004-05-27
2004,5,27,SWS,2.0,70.0,2004-05-27
2004,5,28,GAD,1.0,1.0,2004-05-28
2004,5,28,MID,2.0,1.1,2004-05-28
2004,5,28,UYD,1.0,0.1,2004-05-28
2004,5,28,CRS,4.0,70.2,2004-05-28
2004,5,28,DAS,6.0,18.6,2004-05-28
2004,5,28,FAS,23.0,5.5,2004-05-28
2004,5,28,HNS,1.0,0.1,2004-05-28
2004,5,28,KKS,16.0,9.5,2004-05-28
2004,5,28,MSS,31.0,46.6,2004-05-28
2004,5,28,TAS,2.0,0.2,2004-05-28
2004,5,28,CGF,1.0,0.1,2004-05-28
2004,5,28,SWS,2.0,70.0,2004-05-28
2004,5,29,GAD,1.0,1.0,2004-05-29
2004,5,29,MID,2.0,1.1,2004-05-29
2004,5,29,UYD,1.0,0.1,2004-05-29
2004,5,29,CRS,4.0,70.3,2004-05-29
2004,5,29,DAS,6.0,18.6,2004-05-29
2004,5,29,FAS,23.0,5.5,2004-05-29
2004,5,29,HNS,1.0,0.1,2004-05-29
2004,5,29,KKS,16.0,9.5,2004-05-29
2004,5,29,MSS,31.0,37.6,2004-05-29
2004,5,29,TAS,2.0,0.2,2004-05-29
2004,5,29,CGF,1.0,0.1,2004-05-29
2004,5,29,SWS,2.0,70.0,2004-05-29
2004,5,30,GAD,1.0,1.0,2004-05-30
2004,5,30,MID,2.0,1.1,2004-05-30
2004,5,30,UYD,1.0,0.1,2004-05-30
2004,5,30,CRS,4.0,70.3,2004-05-30
2004,5,30,DAS,6.0,18.6,2004-05-30
2004,5,30,FAS,24.0,5.7,2004-05-30
2004,5,30,HNS,1.0,0.1,2004-05-30
2004,5,30,KKS,16.0,9.5,2004-05-30
2004,5,30,MSS,31.0,37.6,2004-05-30
2004,5,30,TAS,2.0,0.2,2004-05-30
2004,5,30,CGF,1.0,0.1,2004-05-30
2004,5,30,SWS,2.0,70.0,2004-05-30
2004,5,31,GAD,1.0,1.0,2004-05-31
2004,5,31,MID,2.0,1.1,2004-05-31
2004,5,31,UYD,1.0,0.1,2004-05-31
2004,5,31,CRS,4.0,77.3,2004-05-31
2004,5,31,DAS,7.0,18.7,2004-05-31
2004,5,31,FAS,24.0,5.7,2004-05-31
2004,5,31,HNS,1.0,0.1,2004-05-31
2004,5,31,KKS,16.0,9.5,2004-05-31
2004,5,31,MSS,32.0,37.7,2004-05-31
2004,5,31,TAS,2.0,0.2,2004-05-31
2004,5,31,CGF,1.0,0.1,2004-05-31
2004,5,31,SWS,2.0,70.0,2004-05-31
2004,6,1,GAD,11.0,42.0,2004-06-01
2004,6,1,MID,2.0,1.1,2004-06-01
2004,6,1,TAD,3.0,5.1,2004-06-01
2004,6,1,UYD,1.0,0.1,2004-06-01
2004,6,1,CRS,4.0,77.3,2004-06-01
2004,6,1,DAS,7.0,18.7,2004-06-01
2004,6,1,FAS,26.0,5.9,2004-06-01
2004,6,1,HNS,1.0,0.1,2004-06-01
2004,6,1,KKS,22.0,10.1,2004-06-01
2004,6,1,MSS,32.0,46.7,2004-06-01
2004,6,1,TAS,2.0,0.2,2004-06-01
2004,6,1,CGF,2.0,0.2,2004-06-01
2004,6,1,SWS,2.0,70.0,2004-06-01
2004,6,2,GAD,13.0,282.0,2004-06-02
2004,6,2,MID,2.0,1.1,2004-06-02
2004,6,2,TAD,5.0,72.1,2004-06-02
2004,6,2,UYD,1.0,0.1,2004-06-02
2004,6,2,CRS,4.0,77.3,2004-06-02
2004,6,2,DAS,7.0,18.7,2004-06-02
2004,6,2,FAS,26.0,5.9,2004-06-02
2004,6,2,HNS,1.0,0.1,2004-06-02
2004,6,2,KKS,22.0,10.1,2004-06-02
2004,6,2,MSS,33.0,46.8,2004-06-02
2004,6,2,TAS,2.0,0.2,2004-06-02
2004,6,2,CGF,2.0,0.2,2004-06-02
2004,6,2,SWS,2.0,70.0,2004-06-02
2004,6,3,GAD,13.0,282.0,2004-06-03
2004,6,3,MID,2.0,1.1,2004-06-03
2004,6,3,TAD,5.0,74.1,2004-06-03
2004,6,3,UYD,2.0,20.1,2004-06-03
2004,6,3,CRS,4.0,77.3,2004-06-03
2004,6,3,DAS,7.0,18.7,2004-06-03
2004,6,3,FAS,26.0,5.8,2004-06-03
2004,6,3,HNS,1.0,0.1,2004-06-03
2004,6,3,KKS,22.0,10.1,2004-06-03
2004,6,3,MSS,34.0,37.9,2004-06-03
2004,6,3,TAS,2.0,0.2,2004-06-03
2004,6,3,CGF,2.0,0.2,2004-06-03
2004,6,3,SWS,2.0,70.0,2004-06-03
2004,6,4,GAD,13.0,5002.0,2004-06-04
2004,6,4,MID,2.0,1.1,2004-06-04
2004,6,4,TAD,5.0,74.1,2004-06-04
2004,6,4,UYD,2.0,20.1,2004-06-04
2004,6,4,CRS,4.0,77.3,2004-06-04
2004,6,4,DAS,7.0,18.7,2004-06-04
2004,6,4,FAS,26.0,5.9,2004-06-04
2004,6,4,HNS,1.0,0.1,2004-06-04
2004,6,4,KKS,23.0,10.2,2004-06-04
2004,6,4,MSS,34.0,37.9,2004-06-04
2004,6,4,TAS,2.0,0.2,2004-06-04
2004,6,4,CGF,2.0,0.2,2004-06-04
2004,6,4,SWS,2.0,70.0,2004-06-04
2004,6,5,GAD,16.0,5792.0,2004-06-05
2004,6,5,MID,2.0,1.1,2004-06-05
2004,6,5,TAD,6.0,75.6,2004-06-05
2004,6,5,UYD,2.0,5.1,2004-06-05
2004,6,5,CRS,4.0,77.3,2004-06-05
2004,6,5,DAS,7.0,18.7,2004-06-05
2004,6,5,FAS,26.0,5.9,2004-06-05
2004,6,5,HNS,2.0,0.2,2004-06-05
2004,6,5,KKS,25.0,10.4,2004-06-05
2004,6,5,MSS,35.0,38.1,2004-06-05
2004,6,5,TAS,2.0,0.2,2004-06-05
2004,6,5,CGF,2.0,0.2,2004-06-05
2004,6,5,SWS,2.0,70.0,2004-06-05
2004,6,6,GAD,16.0,8252.0,2004-06-06
2004,6,6,MID,2.0,1.1,2004-06-06
2004,6,6,TAD,6.0,75.6,2004-06-06
2004,6,6,UYD,2.0,5.1,2004-06-06
2004,6,6,CRS,4.0,77.3,2004-06-06
2004,6,6,DAS,7.0,18.7,2004-06-06
2004,6,6,FAS,26.0,5.9,2004-06-06
2004,6,6,HNS,2.0,0.2,2004-06-06
2004,6,6,KKS,25.0,10.3,2004-06-06
2004,6,6,MSS,36.0,38.3,2004-06-06
2004,6,6,TAS,2.0,0.2,2004-06-06
2004,6,6,CGF,2.0,0.2,2004-06-06
2004,6,6,SWS,2.0,70.0,2004-06-06
2004,6,7,GAD,16.0,9132.0,2004-06-07
2004,6,7,MID,2.0,1.1,2004-06-07
2004,6,7,TAD,6.0,75.6,2004-06-07
2004,6,7,UYD,3.0,7.1,2004-06-07
2004,6,7,CRS,4.0,77.3,2004-06-07
2004,6,7,DAS,7.0,18.7,2004-06-07
2004,6,7,FAS,26.0,5.9,2004-06-07
2004,6,7,HNS,2.0,0.2,2004-06-07
2004,6,7,KKS,27.0,10.6,2004-06-07
2004,6,7,MSS,38.0,48.4,2004-06-07
2004,6,7,TAS,2.0,0.2,2004-06-07
2004,6,7,CGF,2.0,0.2,2004-06-07
2004,6,7,SWS,2.0,130.0,2004-06-07
2004,6,8,GAD,18.0,11207.0,2004-06-08
2004,6,8,MID,2.0,1.1,2004-06-08
2004,6,8,TAD,8.0,729.1,2004-06-08
2004,6,8,UYD,3.0,10.2,2004-06-08
2004,6,8,CRS,4.0,77.3,2004-06-08
2004,6,8,DAS,7.0,18.7,2004-06-08
2004,6,8,FAS,29.0,8.1,2004-06-08
2004,6,8,HNS,2.0,0.2,2004-06-08
2004,6,8,KKS,27.0,10.6,2004-06-08
2004,6,8,MSS,40.0,50.2,2004-06-08
2004,6,8,TAS,2.0,0.2,2004-06-08
2004,6,8,CGF,2.0,0.2,2004-06-08
2004,6,8,SWS,2.0,130.0,2004-06-08
2004,6,9,GAD,18.0,11207.6,2004-06-09
2004,6,9,MID,2.0,1.1,2004-06-09
2004,6,9,TAD,8.0,1410.6,2004-06-09
2004,6,9,UYD,5.0,11.2,2004-06-09
2004,6,9,CRS,4.0,77.3,2004-06-09
2004,6,9,DAS,7.0,18.7,2004-06-09
2004,6,9,FAS,29.0,8.1,2004-06-09
2004,6,9,HNS,2.0,0.2,2004-06-09
2004,6,9,KKS,27.0,10.6,2004-06-09
2004,6,9,MSS,41.0,50.3,2004-06-09
2004,6,9,TAS,2.0,0.2,2004-06-09
2004,6,9,CGF,2.0,0.2,2004-06-09
2004,6,9,SWS,2.0,130.0,2004-06-09
2004,6,10,GAD,19.0,11210.2,2004-06-10
2004,6,10,MID,2.0,1.1,2004-06-10
2004,6,10,TAD,10.0,1416.6,2004-06-10
2004,6,10,UYD,6.0,15.2,2004-06-10
2004,6,10,CRS,4.0,77.3,2004-06-10
2004,6,10,DAS,7.0,18.7,2004-06-10
2004,6,10,FAS,31.0,8.3,2004-06-10
2004,6,10,HNS,2.0,0.2,2004-06-10
2004,6,10,KKS,27.0,10.6,2004-06-10
2004,6,10,MSS,41.0,50.3,2004-06-10
2004,6,10,TAS,2.0,0.2,2004-06-10
2004,6,10,CGF,2.0,0.2,2004-06-10
2004,6,10,SWS,2.0,130.0,2004-06-10
2004,6,11,GAD,20.0,11220.2,2004-06-11
2004,6,11,MID,2.0,1.1,2004-06-11
2004,6,11,TAD,12.0,1439.1,2004-06-11
2004,6,11,UYD,6.0,2810.7,2004-06-11
2004,6,11,CRS,4.0,77.3,2004-06-11
2004,6,11,DAS,7.0,18.7,2004-06-11
2004,6,11,FAS,31.0,8.3,2004-06-11
2004,6,11,HNS,2.0,0.2,2004-06-11
2004,6,11,KKS,28.0,10.7,2004-06-11
2004,6,11,MSS,42.0,50.4,2004-06-11
2004,6,11,TAS,2.0,0.2,2004-06-11
2004,6,11,CGF,2.0,0.2,2004-06-11
2004,6,11,SWS,2.0,130.0,2004-06-11
2004,6,12,GAD,28.0,11477.2,2004-06-12
2004,6,12,MID,2.0,1.1,2004-06-12
2004,6,12,TAD,12.0,1439.1,2004-06-12
2004,6,12,UYD,6.0,9170.7,2004-06-12
2004,6,12,CRS,4.0,77.3,2004-06-12
2004,6,12,DAS,7.0,18.7,2004-06-12
2004,6,12,FAS,31.0,8.3,2004-06-12
2004,6,12,HNS,2.0,0.2,2004-06-12
